Month,Province,Vehicle_type,Cause,Weather_condition,Slope_description
December,Chiang Mai,motorcycle,driving under the influence of alcohol,clear,no slope
December,Kalasin,motorcycle,cutting in closely by people/vehicles/animals,clear,other
December,Surin,4-wheel pickup truck,cutting in closely by people/vehicles/animals,clear,other
December,Nong Khai,4-wheel pickup truck,speeding,clear,no slope
December,Suphan Buri,private/passenger car,cutting in closely by people/vehicles/animals,clear,no slope
December,Uthai Thani,motorcycle,speeding,clear,no slope
December,Bueng Kan,4-wheel pickup truck,speeding,clear,no slope
December,Surat Thani,motorcycle,speeding,clear,other
December,Phuket,motorcycle,speeding,clear,no slope
December,Si Sa Ket,4-wheel pickup truck,falling asleep,clear,no slope
December,Nakhon Sawan,4-wheel pickup truck,cutting in closely by people/vehicles/animals,clear,no slope
December,Mukdahan,4-wheel pickup truck,speeding,clear,no slope
December,Phetchabun,motorcycle,cutting in closely by people/vehicles/animals,clear,no slope
December,Nakhon Ratchasima,motorcycle,speeding,clear,no slope
December,Chiang Mai,4-wheel pickup truck,speeding,clear,no slope
December,Mukdahan,motorcycle,speeding,clear,no slope
December,Krabi,motorcycle,speeding,clear,no slope
December,Ratchaburi,motorized tricycle,cutting in closely by people/vehicles/animals,clear,other
December,Nan,passenger pickup truck,driving under the influence of alcohol,clear,slope area
December,Nakhon Si Thammarat,4-wheel pickup truck,speeding,rainy,no slope
December,Nakhon Si Thammarat,4-wheel pickup truck,falling asleep,clear,no slope
December,Tak,motorcycle,speeding,clear,slope area
December,Pattani,private/passenger car,speeding,rainy,no slope
December,Nan,private/passenger car,speeding,clear,no slope
December,Udon Thani,motorcycle,speeding,clear,no slope
December,Suphan Buri,motorcycle,falling asleep,clear,other
December,Nakhon Si Thammarat,4-wheel pickup truck,speeding,rainy,no slope
December,Sakon Nakhon,motorcycle,cutting in closely by people/vehicles/animals,clear,no slope
December,Nakhon Si Thammarat,4-wheel pickup truck,speeding,clear,no slope
December,Saraburi,4-wheel pickup truck,speeding,clear,no slope
December,Surat Thani,4-wheel pickup truck,speeding,clear,no slope
December,Kanchanaburi,motorcycle,speeding,clear,no slope
December,Phetchaburi,motorcycle,cutting in closely by people/vehicles/animals,clear,other
December,Udon Thani,private/passenger car,speeding,clear,no slope
December,Nakhon Phanom,4-wheel pickup truck,speeding,clear,no slope
December,Nakhon Nayok,motorcycle,speeding,clear,no slope
December,Ubon Ratchathani,4-wheel pickup truck,cutting in closely by people/vehicles/animals,clear,no slope
December,Surat Thani,4-wheel pickup truck,speeding,clear,no slope
December,Chiang Mai,private/passenger car,speeding,clear,no slope
December,Yasothon,motorcycle,cutting in closely by people/vehicles/animals,clear,no slope
December,Nakhon Ratchasima,private/passenger car,straddling lanes,clear,no slope
December,Bangkok,private/passenger car,cutting in closely by people/vehicles/animals,clear,no slope
December,Chiang Mai,private/passenger car,speeding,clear,no slope
December,Nakhon Si Thammarat,motorcycle,cutting in closely by people/vehicles/animals,clear,no slope
December,Kamphaeng Phet,private/passenger car,speeding,clear,no slope
December,Nonthaburi,motorcycle,speeding,clear,other
December,Nakhon Ratchasima,4-wheel pickup truck,speeding,clear,no slope
December,Sa Kaeo,motorcycle,speeding,clear,no slope
December,Si Sa Ket,4-wheel pickup truck,speeding,clear,no slope
December,Loburi,motorcycle,speeding,clear,no slope
December,Kalasin,4-wheel pickup truck,speeding,clear,no slope
December,unknown,private/passenger car,falling asleep,clear,no slope
December,Chiang Mai,motorcycle,speeding,clear,no slope
December,Chiang Mai,motorcycle,speeding,clear,no slope
December,Phrae,private/passenger car,driving under the influence of alcohol,clear,other
December,Mae Hong Son,motorcycle,cutting in closely by people/vehicles/animals,clear,other
December,Surat Thani,6-wheel truck,speeding,rainy,no slope
December,Pattani,motorcycle,speeding,clear,no slope
December,Nong Bua Lam Phu,motorcycle,speeding,clear,no slope
December,Ranong,4-wheel pickup truck,speeding,rainy,no slope
December,Phichit,4-wheel pickup truck,cutting in closely by people/vehicles/animals,clear,no slope
December,Phitsanulok,motorcycle,speeding,clear,no slope
December,Uttaradit,motorcycle,speeding,clear,no slope
December,Songkhla,4-wheel pickup truck,speeding,rainy,no slope
December,Loburi,4-wheel pickup truck,cutting in closely by people/vehicles/animals,clear,other
December,Nakhon Ratchasima,motorcycle,speeding,clear,no slope
December,Uttaradit,4-wheel pickup truck,cutting in closely by people/vehicles/animals,clear,no slope
December,Kamphaeng Phet,motorcycle,cutting in closely by people/vehicles/animals,clear,other
December,Phra Nakhon Si Ayutthaya,motorcycle,speeding,clear,no slope
